PitchAngle,Power,PredictedPower
2.6323602,1701.4331,1903.1311743151339
0.8988629,1685.2394,1684.640446528456
7.789157,2059.5498,2031.8016736538816
1.3751497,1734.938,1752.0090081103808
0.8044843,1931.8594,1672.3402297926361
0.3254525,1729.1987,1621.2988250201713
0.034499846,1454.8323,1602.8643915903644
0.9720217,1698.3239,1694.521280358786
0.6249137,1586.1873,1650.6894679344937
0.31197914,1696.6239,1620.2095787333612
0.33948416,1548.9193,1622.4561877308058
0.5098279,1742.1716,1638.287770329952
5.032663,2008.6091,2003.6975965780885
1.286462,1649.8857,1739.1514926685043
0.10049839,1610.9154,1606.0796453881574
3.3174562,1898.8002,1947.7644772755955
3.6916137,1858.0658,1964.035810717122
0.7249731,1804.8063,1662.4414280282729
0.0,1472.0094,1601.4179601506496
6.193942,2026.5023,2028.5902297787525
0.8499289,1893.9683,1678.1942738564262
4.9926972,1931.1519,2002.7119445666099
3.6074934,1983.4333,1960.7213128134472
0.9337381,1786.8983,1689.316736229881
6.6849933,2041.0332,2035.5230835755185
0.8958275,1690.294,1684.2365587434738
3.1271837,1921.242,1937.6465623807862
0.29449823,1805.7607,1618.8288823752969
0.41438782,1411.1423,1629.021685039955
0.043499183,1701.2133,1603.2682750188228
1.1902215,1714.8451,1725.251648796928
5.914407,2051.587,2023.3988579624297
0.3548154,1425.2452,1623.74728954608
0.66778153,1751.9907,1655.6213201447836
1.2492603,1850.0854,1733.7663702362208
0.19797324,1678.9148,1611.883823858443
0.7852517,1449.7344,1669.9041808608827
1.917621,1862.7192,1827.152499835234
1.7688148,1738.5751,1807.584062977823
3.0184116,1933.7587,1931.156969279434
0.95422745,1623.4945,1692.0933720048558
0.59447527,1809.7666,1647.2869953736247
0.8328416,1721.2332,1675.9774847972872
0.1647322,1686.2957,1609.765242747913
3.937867,1999.9574,1972.8743661174826
2.2123606,1544.7952,1862.3549285449571
0.33949116,1769.2201,1622.4567709220048
0.0,1459.2559,1601.4179601506496
0.034499288,1433.8452,1602.8643668878308
0.6128849,1637.2944,1649.3347649928164
4.860183,1902.6404,1999.3873533267113
2.1666174,1882.9897,1857.2333534199063
0.9865586,1667.6097,1696.515586153913
1.1627688,1873.9678,1721.3116352604052
2.8184266,1954.9459,1917.6802005240504
4.2798066,1952.2335,1983.59616333062
0.5272588,1427.1606,1640.083177702323
3.1430829,1997.6392,1938.549784775417
2.5343401,1920.2566,1894.6216412486501
0.27049416,1632.2114,1616.993537624895
1.9083833,1733.3464,1825.9694941848497
2.069943,1903.74,1845.9847307398625
2.2457056,1941.9586,1866.0052765940516
4.4399753,2035.7106,1988.192320789225
1.4050865,1830.8473,1756.3443383308975
2.8834183,2032.3456,1922.2930592202856
5.7711887,1965.8145,2020.4982916858803
7.027094,2035.5927,2037.8608586862704
0.11049948,1503.0253,1606.6177174806146
